,Type,Rooms,Bathroom,CarSpots,Landsize,BuildingArea,YearBuilt,Price,SellerG,DateSold,Suburb,DistanceFromCenter,Lattitude,Longtitude,Regionname
1 Abercrombie St,house,4,2.0,2.0,596.0,161.0,1980.0,,,,Oakleigh South,14.7,-37.932,145.0827,South-Eastern Metropolitan
1 Aberfeldie Wy,house,5,3.0,2.0,,217.0,2005.0,680000.0,Barry,2018-03-02,Caroline Springs,14.8,-37.72705,144.74856,Western Metropolitan
1 Acheron Av,house,3,,,,,,890000.0,hockingstuart,2017-06-17,Reservoir,12.0,,,Northern Metropolitan
1 Adelle Ct,house,3,2.0,2.0,820.0,,,1700000.0,Barry,2017-04-29,Doncaster,13.9,-37.7803,145.1248,Eastern Metropolitan
1 Aintree Rd,house,4,3.0,4.0,349.0,,,,,,Glen Iris,9.2,-37.858,145.0433,Southern Metropolitan
1 Airlie St,house,3,1.0,3.0,287.0,110.0,1910.0,1342000.0,Marshall,2017-09-16,Brighton,10.5,-37.88879,144.99833,Southern Metropolitan
1 Albion Ct,house,3,2.0,2.0,913.0,174.0,,650000.0,Purplebricks,2017-09-23,Hoppers Crossing,18.4,-37.85152,144.70802,Western Metropolitan
1 Alexander St,house,3,2.0,2.0,401.0,121.0,1926.0,1301000.0,Buxton,2016-12-11,Brighton East,10.7,-37.9062,145.0173,Southern Metropolitan
1 Alma St,house,4,3.0,3.0,511.0,187.0,1922.0,1436000.0,Brad,2017-03-09,Aberfeldie,7.5,-37.75788,144.90487,Western Metropolitan
1 Amber Ct,flat,2,,,,,,496000.0,Brad,2017-09-12,Pascoe Vale,8.5,-37.7168,144.94426,Northern Metropolitan
1 Angus Ct,house,5,2.0,2.0,588.0,,,,,,Roxburgh Park,20.6,-37.61724,144.92716,Northern Metropolitan
1 Ann St,house,4,2.0,4.0,578.0,171.0,1920.0,1260000.0,Eview,2017-08-26,Pascoe Vale,8.5,-37.73058,144.9353,Northern Metropolitan
1 Anthony St,house,5,3.0,2.0,,638.0,2011.0,5770000.0,Marshall,2017-08-26,Glen Iris,7.3,-37.86048,145.0487,Southern Metropolitan
1 Ardene Ct,house,4,2.0,2.0,,,,2725000.0,Marshall,2017-10-28,Hawthorn,5.3,-37.82558,145.03248,Southern Metropolitan
1 Arkle St,house,3,2.0,1.0,278.0,,,,,,Prahran,4.5,-37.8544,145.0038,Southern Metropolitan
1 Arnot St,house,5,3.0,2.0,634.0,,2005.0,2500000.0,Hodges,2016-10-12,Brighton East,10.7,-37.9126,145.013,Southern Metropolitan
1 Arthur St,house,2,1.0,1.0,599.0,,1960.0,660000.0,Barry,2016-11-19,Braybrook,10.8,-37.7908,144.8522,Western Metropolitan
1 Ash Gr,house,3,1.0,2.0,690.0,,1950.0,955000.0,Considine,2017-08-04,Oak Park,11.5,-37.7167,144.9127,Northern Metropolitan
1 Ashdown Ct,house,3,1.0,2.0,418.0,,,671000.0,Ray,2017-08-26,Lalor,16.3,-37.66349,145.03391000000005,Northern Metropolitan
1 Ashton Av,house,3,1.0,2.0,,,,,,,St Albans,14.0,-37.74599,144.82363999999995,Western Metropolitan
1 Aspen St,house,3,2.0,6.0,532.0,,,600000.0,Westside,2017-08-07,St Albans,14.0,-37.75424,144.80816000000004,Western Metropolitan
1 Aston Hth,house,3,,,,,,1329000.0,Barry,2017-10-28,Glen Waverley,16.7,-37.88708,145.18653,Eastern Metropolitan
1 Athol St,house,4,2.0,2.0,447.0,,1880.0,1350000.0,Brad,2016-10-09,Moonee Ponds,6.9,-37.7704,144.9199,Western Metropolitan
