Address	Type	Rooms	Bathroom	CarSpots	Landsize	BuildingArea	YearBuilt
68 Studley St	house	2	1.0	1.0	126.0		
85 Turner St	house	2	1.0	1.0	202.0		
25 Bloomburg St	house	2	1.0	0.0	156.0	79.0	1900.0
18/659 Victoria St	flat	3	2.0	1.0	0.0		
5 Charles St	house	3	2.0	0.0	134.0	150.0	1900.0
40 Federation La	house	3	2.0	1.0	94.0		
55a Park St	house	4	1.0	2.0	120.0	142.0	2014.0
16 Maugie St	house	4	2.0	2.0	400.0	220.0	2006.0
53 Turner St	house	2	1.0	2.0	201.0		1900.0
99 Turner St	house	2	2.0	1.0	202.0		1900.0
129 Charles St	house	2	1.0	0.0	181.0		
124 Yarra St	house	3	2.0	0.0	245.0	210.0	1910.0
121/56 Nicholson St	flat	2	2.0	1.0	4292.0	82.0	2009.0
17 Raphael St	house	4	2.0	0.0	230.0	147.0	1860.0
98 Charles St	house	2	1.0	2.0	256.0	107.0	1890.0
217 Langridge St	house	3					
18a Mollison St	townhouse	2					
6/241 Nicholson St	flat	1	1.0	1.0	0.0		
10 Valiant St	house	2	1.0	2.0	220.0	75.0	1900.0
403/609 Victoria St	flat	2					
2 Rich St	house	2	1.0	1.0	176.0	80.0	1925.0
25/84 Trenerry Cr	flat	2					
106/119 Turner St	flat	1					
411/8 Grosvenor St	flat	2	2.0	1.0	0.0		
40 Nicholson St	house	3	2.0	2.0	214.0	190.0	2005.0
123/56 Nicholson St	flat	2	2.0	1.0	0.0	94.0	2009.0
22 Park St	house	4					
13/84 Trenerry Cr	flat	1					
45 William St	house	2	1.0	1.0	195.0		
7/20 Abbotsford St	flat	1	1.0	1.0	0.0		
16 William St	house	2	1.0	2.0	238.0	97.0	1890.0
16/11 Nicholson St	flat	3	2.0	2.0	0.0	129.0	2010.0
42 Henry St	house	3	2.0	1.0	113.0	110.0	1880.0
250 Langridge St	townhouse	2					
16b Mollison St	house	2					
78 Yarra St	house	3	1.0	1.0	138.0	105.0	1890.0
196 Nicholson St	house	3	1.0	0.0	183.0		
42 Valiant St	house	2	1.0	1.0	150.0	73.0	1985.0
3/72 Charles St	house	4	2.0	2.0	780.0	135.0	1900.0
1/1 Mayfield St	house	3	2.0	1.0	119.0	167.0	2005.0
13/11 Nicholson St	townhouse	3	2.0	2.0	0.0		2010.0
138/56 Nicholson St	flat	3	2.0	2.0	4290.0	27.0	
6/219 Nicholson St	flat	2	1.0	1.0	0.0	60.0	1970.0
52a William St	house	2	2.0	1.0	124.0	135.0	2013.0
49 Park St	house	2	1.0	0.0	147.0	85.0	1900.0
65/80 Trenerry Cr	flat	1					
119/52 Nicholson St	flat	1					
8b Park St	house	4					
5/20 Abbotsford St	flat	1	1.0	1.0	0.0		
48 Abbotsford St	house	3	3.0	1.0	166.0	174.0	2012.0
116/56 Nicholson St	flat	1	1.0	1.0	0.0	50.0	
159 Park St	house	2	2.0	2.0	98.0	128.0	1920.0
49/84 Trenerry Cr	house	2					
31 Turner St	house	4	3.0	1.0	0.0		
17/1 Abbot St	townhouse	3					
166 Gipps St	house	3	2.0	2.0	147.0	18.0	
60 Stafford St	house	3	1.0	1.0	168.0	124.0	1950.0
11/205 Gipps St	flat	1	1.0	1.0	0.0	50.0	2013.0
47 Studley St	house	2	1.0	0.0	162.0	91.0	1900.0
45 Yarra St	house	3	2.0	1.0	120.0	128.0	1998.0
4/328 Johnston St	flat	2					
200 Nicholson St	house	2	1.0	0.0	182.0	82.0	1900.0
82/84 Trenerry Cr	flat	2					
27 Charles St	house	2	1.0	1.0	172.0	81.0	1930.0
40/80 Trenerry Cr	house	3					
154 Halsey Rd	townhouse	3	2.0	1.0	303.0	225.0	2016.0
50 Bedford St	house	3	2.0	1.0	0.0	145.0	1965.0
5 Harrington Rd	house	3	1.0	1.0	580.0	114.0	1960.0
23 Hart St	house	2	1.0	1.0	272.0	84.0	1950.0
1/80 Hawker St	townhouse	3	2.0	2.0	239.0	134.0	2009.0
1/37 Hillside Gr	house	3	1.0	1.0	290.0	116.0	1980.0
2/49 McIntosh St	flat	2	1.0	1.0	168.0	86.0	2011.0
4/9 West Ct	townhouse	2					
1/36 York St	townhouse	3					
33 Bowes Av	house	5					
89 Bowes Av	house	4					
45 Laurence Av	house	4					
54 Marshall Rd	house	3	1.0	1.0	620.0		
36 Roberts Rd	house	4	1.0	2.0	597.0	127.0	
11 Harrington Rd	house	6	3.0	2.0	976.0	186.0	1980.0
2/252 Parer Rd	townhouse	2	1.0	1.0	110.0	90.0	2015.0
3/19 Hart St	flat	2	1.0	1.0	141.0	73.0	2013.0
81a Roberts Rd	house	3					
2/62 Clydesdale Rd	flat	2	1.0	1.0	120.0	94.0	2012.0
3 Deidre Ct	house	3	1.0	6.0	1063.0	133.0	1975.0
3/24 Elstone Av	flat	3					
13 Etzel St	house	3	1.0	1.0	0.0	105.0	1950.0
37a North St	townhouse	3					
1/43 Cameron St	flat	3	1.0	1.0	265.0	130.0	1993.0
1/69 Bowes Av	flat	3					
2/9 El Reno Cr	house	3					
92 McNamara Av	house	4					
145a Victory Rd	flat	2	1.0	1.0	192.0		
20 Creswell Av	house	3					
241 Parer Rd	house	5	2.0	2.0	596.0		
71 Bowes Av	house	4					
2/40 Earl St	townhouse	3	2.0	2.0	165.0	133.0	2009.0
2/112 Parer Rd	flat	2					
180 Parer Rd	house	3	1.0	2.0	971.0	113.0	1960.0
4/54 Hawker St	flat	2	1.0	1.0	164.0		2003.0
43 Hillside Gr	house	3	2.0	2.0	657.0		
174 Parer Rd	house	2	1.0	1.0	612.0	100.0	1975.0
138 Victory Rd	house	3	2.0	5.0	612.0	174.0	1950.0
75 King St	house	3	1.0	1.0	775.0		
6 Kittyhawk St	house	4	3.0	4.0	531.0	309.0	1980.0
7 McNamara Av	house	3					
478 Fullarton Rd	house	3	3.0	2.0	555.0	192.0	1980.0
144 Marshall Rd	house	3	2.0	2.0	422.0	126.0	1995.0
106 Parer Rd	house	3	1.0	3.0	614.0		
1/41 Hillside Gr	townhouse	2					
3/7 South Rd	townhouse	3	2.0	1.0	161.0	101.0	2010.0
37 North St	townhouse	3	2.0	1.0	293.0	102.0	1960.0
10 Hilbert Rd	house	3	1.0	1.0	579.0	113.0	1975.0
7/42 York St	flat	3					
110 Halsey Rd	house	3	1.0	1.0	623.0		
2/13 North St	flat	2	1.0	1.0	141.0	76.0	
105a Victory Rd	house	3	2.0	1.0	212.0		
117 Marshall Rd	house	3	1.0	2.0	612.0		
34 Moorna Dr	house	4	3.0	2.0	532.0		
2/89 Marshall Rd	flat	3					
33 North St	house	3	1.0	1.0	585.0		
4/40 McNamara Av	flat	2					
5/93 McNamara Av	townhouse	2					
2/137 McNamara Av	house	3					
1/46 Bowes Av	townhouse	3					
1/34 Elstone Av	flat	3					
49 Roberts Rd	house	4	1.0	2.0	509.0		
85 Roberts Rd	house	4	2.0	3.0	628.0	146.0	1975.0
22a Walters Av	flat	3					
1/145 Parer Rd	flat	3					
3/35 Walters Av	townhouse	3					
105 Kerferd Rd	house	2	1.0	0.0	120.0	82.0	1900.0
85 Richardson St	house	2	1.0	0.0	159.0		
