Address;Suburb;DistanceFromCenter;Lattitude;Longtitude;Regionname
68 Studley St;Abbotsford;2,5;-37,8014;144,9958;Northern Metropolitan
85 Turner St;Abbotsford;2,5;-37,7996;144,9984;Northern Metropolitan
25 Bloomburg St;Abbotsford;2,5;-37,8079;144,9934;Northern Metropolitan
18/659 Victoria St;Abbotsford;2,5;-37,8114;145,0116;Northern Metropolitan
5 Charles St;Abbotsford;2,5;-37,8093;144,9944;Northern Metropolitan
40 Federation La;Abbotsford;2,5;-37,7969;144,9969;Northern Metropolitan
55a Park St;Abbotsford;2,5;-37,8072;144,9941;Northern Metropolitan
16 Maugie St;Abbotsford;2,5;-37,7965;144,9965;Northern Metropolitan
53 Turner St;Abbotsford;2,5;-37,7995;144,9974;Northern Metropolitan
99 Turner St;Abbotsford;2,5;-37,7996;144,9989;Northern Metropolitan
129 Charles St;Abbotsford;2,5;-37,8041;144,9953;Northern Metropolitan
124 Yarra St;Abbotsford;2,5;-37,8024;144,9993;Northern Metropolitan
121/56 Nicholson St;Abbotsford;2,5;-37,8078;144,9965;Northern Metropolitan
17 Raphael St;Abbotsford;2,5;-37,8066;144,9936;Northern Metropolitan
98 Charles St;Abbotsford;2,5;-37,806;144,9954;Northern Metropolitan
217 Langridge St;Abbotsford;2,5;;;Northern Metropolitan
18a Mollison St;Abbotsford;2,5;;;Northern Metropolitan
6/241 Nicholson St;Abbotsford;2,5;-37,8008;144,9973;Northern Metropolitan
10 Valiant St;Abbotsford;2,5;-37,801;144,9989;Northern Metropolitan
403/609 Victoria St;Abbotsford;2,5;;;Northern Metropolitan
2 Rich St;Abbotsford;2,5;-37,7998;144,9972;Northern Metropolitan
25/84 Trenerry Cr;Abbotsford;2,5;;;Northern Metropolitan
106/119 Turner St;Abbotsford;2,5;;;Northern Metropolitan
411/8 Grosvenor St;Abbotsford;2,5;-37,811;145,0067;Northern Metropolitan
40 Nicholson St;Abbotsford;2,5;-37,8085;144,9964;Northern Metropolitan
123/56 Nicholson St;Abbotsford;2,5;-37,8078;144,9965;Northern Metropolitan
22 Park St;Abbotsford;2,5;-37,8084;144,9942;Northern Metropolitan
13/84 Trenerry Cr;Abbotsford;2,5;;;Northern Metropolitan
45 William St;Abbotsford;2,5;-37,8084;144,9973;Northern Metropolitan
7/20 Abbotsford St;Abbotsford;2,5;-37,8016;144,9988;Northern Metropolitan
16 William St;Abbotsford;2,5;-37,809;144,9976;Northern Metropolitan
16/11 Nicholson St;Abbotsford;2,5;-37,8093;144,9959;Northern Metropolitan
42 Henry St;Abbotsford;2,5;-37,8056;144,993;Northern Metropolitan
250 Langridge St;Abbotsford;2,5;;;Northern Metropolitan
16b Mollison St;Abbotsford;2,5;;;Northern Metropolitan
78 Yarra St;Abbotsford;2,5;-37,8021;144,9965;Northern Metropolitan
196 Nicholson St;Abbotsford;2,5;-37,8022;144,9975;Northern Metropolitan
42 Valiant St;Abbotsford;2,5;-37,8011;145,0004;Northern Metropolitan
3/72 Charles St;Abbotsford;2,5;-37,8073;144,9952;Northern Metropolitan
1/1 Mayfield St;Abbotsford;2,5;-37,8082;144,9999;Northern Metropolitan
13/11 Nicholson St;Abbotsford;2,5;-37,8093;144,9959;Northern Metropolitan
138/56 Nicholson St;Abbotsford;2,5;-37,8078;144,9965;Northern Metropolitan
6/219 Nicholson St;Abbotsford;2,5;-37,8015;144,9972;Northern Metropolitan
52a William St;Abbotsford;2,5;-37,8079;144,9977;Northern Metropolitan
49 Park St;Abbotsford;2,5;-37,808;144,994;Northern Metropolitan
65/80 Trenerry Cr;Abbotsford;2,5;;;Northern Metropolitan
119/52 Nicholson St;Abbotsford;2,5;;;Northern Metropolitan
8b Park St;Abbotsford;2,5;-37,8092;144,9941;Northern Metropolitan
5/20 Abbotsford St;Abbotsford;2,5;-37,8016;144,9988;Northern Metropolitan
48 Abbotsford St;Abbotsford;2,5;-37,8017;145,0001;Northern Metropolitan
116/56 Nicholson St;Abbotsford;2,5;-37,8078;144,9965;Northern Metropolitan
159 Park St;Abbotsford;2,5;-37,8005;144,9952;Northern Metropolitan
49/84 Trenerry Cr;Abbotsford;2,5;;;Northern Metropolitan
31 Turner St;Abbotsford;2,5;-37,7994;144,9965;Northern Metropolitan
17/1 Abbot St;Abbotsford;2,5;-37,7972;144,9969;Northern Metropolitan
166 Gipps St;Abbotsford;2,5;-37,805;144,9943;Northern Metropolitan
60 Stafford St;Abbotsford;2,5;-37,8007;144,9958;Northern Metropolitan
11/205 Gipps St;Abbotsford;2,5;-37,8055;144,9961;Northern Metropolitan
47 Studley St;Abbotsford;2,5;-37,8016;144,9956;Northern Metropolitan
45 Yarra St;Abbotsford;2,5;-37,8022;144,9954;Northern Metropolitan
4/328 Johnston St;Abbotsford;2,5;;;Northern Metropolitan
200 Nicholson St;Abbotsford;2,5;-37,8021;144,9976;Northern Metropolitan
82/84 Trenerry Cr;Abbotsford;2,5;;;Northern Metropolitan
27 Charles St;Abbotsford;2,5;-37,8086;144,9946;Northern Metropolitan
40/80 Trenerry Cr;Abbotsford;2,5;;;Northern Metropolitan
154 Halsey Rd;Airport West;13,5;-37,718;144,878;Western Metropolitan
50 Bedford St;Airport West;13,5;-37,7203;144,8755;Western Metropolitan
5 Harrington Rd;Airport West;13,5;-37,7235;144,8736;Western Metropolitan
23 Hart St;Airport West;13,5;-37,7294;144,888;Western Metropolitan
1/80 Hawker St;Airport West;13,5;-37,7218;144,8837;Western Metropolitan
1/37 Hillside Gr;Airport West;13,5;-37,7273;144,8744;Western Metropolitan
2/49 McIntosh St;Airport West;13,5;-37,7215;144,8864;Western Metropolitan
4/9 West Ct;Airport West;13,5;;;Western Metropolitan
1/36 York St;Airport West;13,5;;;Western Metropolitan
33 Bowes Av;Airport West;13,5;;;Western Metropolitan
89 Bowes Av;Airport West;13,5;;;Western Metropolitan
45 Laurence Av;Airport West;13,5;;;Western Metropolitan
54 Marshall Rd;Airport West;13,5;-37,7173;144,8872;Western Metropolitan
36 Roberts Rd;Airport West;13,5;-37,7259;144,8792;Western Metropolitan
11 Harrington Rd;Airport West;13,5;-37,7239;144,8735;Western Metropolitan
2/252 Parer Rd;Airport West;13,5;-37,7216;144,871;Western Metropolitan
3/19 Hart St;Airport West;13,5;-37,7298;144,8883;Western Metropolitan
81a Roberts Rd;Airport West;13,5;;;Western Metropolitan
2/62 Clydesdale Rd;Airport West;13,5;-37,7234;144,8792;Western Metropolitan
3 Deidre Ct;Airport West;13,5;-37,7249;144,8728;Western Metropolitan
3/24 Elstone Av;Airport West;13,5;;;Western Metropolitan
13 Etzel St;Airport West;13,5;-37,7217;144,8783;Western Metropolitan
37a North St;Airport West;13,5;;;Western Metropolitan
1/43 Cameron St;Airport West;13,5;-37,7302;144,8855;Western Metropolitan
1/69 Bowes Av;Airport West;13,5;;;Western Metropolitan
2/9 El Reno Cr;Airport West;13,5;;;Western Metropolitan
92 McNamara Av;Airport West;13,5;;;Western Metropolitan
145a Victory Rd;Airport West;13,5;-37,7177;144,8787;Western Metropolitan
20 Creswell Av;Airport West;13,5;;;Western Metropolitan
241 Parer Rd;Airport West;13,5;-37,7248;144,8699;Western Metropolitan
71 Bowes Av;Airport West;13,5;;;Western Metropolitan
2/40 Earl St;Airport West;13,5;-37,727;144,887;Western Metropolitan
2/112 Parer Rd;Airport West;13,5;;;Western Metropolitan
180 Parer Rd;Airport West;13,5;-37,7186;144,876;Western Metropolitan
4/54 Hawker St;Airport West;13,5;-37,7218;144,8863;Western Metropolitan
43 Hillside Gr;Airport West;13,5;-37,7269;144,8742;Western Metropolitan
174 Parer Rd;Airport West;13,5;-37,7187;144,8765;Western Metropolitan
138 Victory Rd;Airport West;13,5;-37,7173;144,8796;Western Metropolitan
75 King St;Airport West;13,5;-37,7231;144,8835;Western Metropolitan
6 Kittyhawk St;Airport West;13,5;-37,7263;144,8679;Western Metropolitan
7 McNamara Av;Airport West;13,5;;;Western Metropolitan
478 Fullarton Rd;Airport West;13,5;-37,7285;144,8694;Western Metropolitan
144 Marshall Rd;Airport West;13,5;-37,7164;144,8792;Western Metropolitan
106 Parer Rd;Airport West;13,5;-37,7194;144,8827;Western Metropolitan
1/41 Hillside Gr;Airport West;13,5;;;Western Metropolitan
3/7 South Rd;Airport West;13,5;-37,7231;144,8802;Western Metropolitan
37 North St;Airport West;13,5;-37,72;144,8776;Western Metropolitan
10 Hilbert Rd;Airport West;13,5;-37,7226;144,8733;Western Metropolitan
7/42 York St;Airport West;13,5;;;Western Metropolitan
110 Halsey Rd;Airport West;13,5;-37,7184;144,882;Western Metropolitan
2/13 North St;Airport West;13,5;-37,7202;144,8797;Western Metropolitan
105a Victory Rd;Airport West;13,5;-37,7181;144,8824;Western Metropolitan
117 Marshall Rd;Airport West;13,5;-37,7169;144,8815;Western Metropolitan
34 Moorna Dr;Airport West;13,5;-37,7263;144,869;Western Metropolitan
2/89 Marshall Rd;Airport West;13,5;;;Western Metropolitan
33 North St;Airport West;13,5;-37,72;144,878;Western Metropolitan
4/40 McNamara Av;Airport West;13,5;;;Western Metropolitan
5/93 McNamara Av;Airport West;13,5;;;Western Metropolitan
2/137 McNamara Av;Airport West;13,5;;;Western Metropolitan
1/46 Bowes Av;Airport West;13,5;;;Western Metropolitan
1/34 Elstone Av;Airport West;13,5;;;Western Metropolitan
49 Roberts Rd;Airport West;13,5;-37,7261;144,8785;Western Metropolitan
85 Roberts Rd;Airport West;13,5;-37,7256;144,8739;Western Metropolitan
22a Walters Av;Airport West;13,5;;;Western Metropolitan
1/145 Parer Rd;Airport West;13,5;;;Western Metropolitan
3/35 Walters Av;Airport West;13,5;;;Western Metropolitan
105 Kerferd Rd;Albert Park;3,3;-37,8459;144,9555;Southern Metropolitan
85 Richardson St;Albert Park;3,3;-37,845;144,9538;Southern Metropolitan
112 Beaconsfield Pde;Albert Park;3,3;-37,8481;144,9499;Southern Metropolitan
94 Graham St;Albert Park;3,3;-37,8452;144,9488;Southern Metropolitan
14 Merton St;Albert Park;3,3;-37,8405;144,953;Southern Metropolitan
396 Montague St;Albert Park;3,3;-37,8431;144,9565;Southern Metropolitan
9 Boyd St;Albert Park;3,3;-37,8471;144,9561;Southern Metropolitan
75 Graham St;Albert Park;3,3;-37,8444;144,9484;Southern Metropolitan
54 Brooke St;Albert Park;3,3;-37,8405;144,9521;Southern Metropolitan
104 Richardson St;Albert Park;3,3;-37,8447;144,9523;Southern Metropolitan
81 Richardson St;Albert Park;3,3;-37,8449;144,9536;Southern Metropolitan
4a Mills St;Albert Park;3,3;-37,8443;144,9598;Southern Metropolitan
1 Moubray St;Albert Park;3,3;-37,8415;144,952;Southern Metropolitan
114 Victoria Av;Albert Park;3,3;;;Southern Metropolitan
29 Faussett St;Albert Park;3,3;-37,8422;144,9554;Southern Metropolitan
3 Herbert St;Albert Park;3,3;-37,8443;144,9579;Southern Metropolitan
24 Kerferd Pl;Albert Park;3,3;-37,8421;144,9571;Southern Metropolitan
5 Withers St;Albert Park;3,3;-37,8427;144,9515;Southern Metropolitan
44 Draper St;Albert Park;3,3;-37,8379;144,9539;Southern Metropolitan
2 Dundas Pl;Albert Park;3,3;-37,8415;144,9585;Southern Metropolitan
23 Finlay St;Albert Park;3,3;-37,8436;144,9557;Southern Metropolitan
31 Richardson St;Albert Park;3,3;-37,8422;144,94899999999998;Southern Metropolitan
4a Gatehouse La;Albert Park;3,3;-37,8451;144,9511;Southern Metropolitan
60 Brooke St;Albert Park;3,3;-37,8407;144,9523;Southern Metropolitan
140 Danks St;Albert Park;3,3;-37,847;144,9506;Southern Metropolitan
70 Barrett St;Albert Park;3,3;-37,8445;144,9501;Southern Metropolitan
65 Graham St;Albert Park;3,3;-37,8443;144,9481;Southern Metropolitan
1 Herbert Pl;Albert Park;3,3;-37,8437;144,959;Southern Metropolitan
364 Montague St;Albert Park;3,3;-37,8424;144,9562;Southern Metropolitan
86 Mills St;Albert Park;3,3;-37,847;144,9575;Southern Metropolitan
28 Dinsdale St;Albert Park;3,3;-37,8454;144,9521;Southern Metropolitan
90 Danks St;Albert Park;3,3;-37,8457;144,9479;Southern Metropolitan
129 Kerferd Rd;Albert Park;3,3;-37,8468;144,9546;Southern Metropolitan
97 Page St;Albert Park;3,3;-37,8473;144,9551;Southern Metropolitan
36 Ashworth St;Albert Park;3,3;-37,8482;144,9513;Southern Metropolitan
55 Withers St;Albert Park;3,3;-37,8467;144,9475;Southern Metropolitan
18 Herbert St;Albert Park;3,3;-37,8448;144,9578;Southern Metropolitan
10/140 Kerferd Rd;Albert Park;3,3;-37,846;144,9542;Southern Metropolitan
